,Name,Address,Multiflex_no,Traffic,Search_Word,Feeding,Stroller,Revenue,Store
1,스타필드 하남,경기 하남시 미사대로 750 스타필드 하남,1537,,,,,,
2,스타필드 코엑스,서울 강남구 영동대로 513 코엑스,3589,,,,,,
3,테크노마트 강변,서울 광진구 광나루로56길 85 테크노-마트21,1663,,,,,,
4,아이파크몰 용산,서울 광진구 광나루로56길 85 테크노-마트21,3893,,,,,,
5,가든파이브,서울 송파구 충민로 66 가든파이브라이프,1481,,,,,,
6,타임스퀘어,서울 영등포구 영중로 15 타임스퀘어,2797,,,,,,
7,디큐브시티,서울시 구로구 경인로 662,545,,,,,,
8,롯데몰 김포,서울 강서구 하늘길 77,2127,,,,,,
9,롯데몰 은평,서울 은평구 통일로 1050,1336,,,,,,
10,IFC몰,서울 영등포구 국제금융로 10 IFC몰,1305,,,,,,
