가게명,질문2,질문3,질문5,문제
IFC몰,58,26,2,2. 캐주얼한 옷을 사러 갈거야?
가든파이브,558,22,0,3. 프랜차이즈 식당을 먹으러 갈거야!
디큐브시티,274,53,2,5. 명품 살려면?
롯데몰김포,52,42,0,
롯데몰은평,122,44,0,
스타필드 코엑스,147,98,1,
스타필드 하남,186,53,21,
아이파크몰 용산,262,78,1,
타임스퀘어,101,54,0,
테크노마트 강변,120,18,0,
