Number,Name,Address,Gu,Gu2,Latitude,Longitude,Insta_tag,Multiflex_no,Traffic_subway,Traffic_subway_no,Traffic_subway_connection,Traffic_bus_green,Traffic_bus_red,Traffic_bus_blue,Traffic_bus_express,Traffic_bus_shuttle,Traffic_no,Car,Feeding,Stroller,Revenue(원),Store,Floor,Total area,Operation,Search_Word
11,롯데백화점 본점,대한민국 서울특별시 중구 소공동 을지로 30,,중구,37.56499,126.981369,,,,,,,,,,,,,,,,,,,,
12,롯데백화점 잠실점,대한민국 서울특별시 송파구 잠실3동 올림픽로 240,,송파구,37.511235,127.098027,,,,,,,,,,,,,,,,,,,,
13,롯데백화점 영등포점,대한민국 서울특별시 영등포구 영등포본동 경인로 846,,영등포구,37.515471,126.906682,,,,,,,,,,,,,,,,,,,,
14,롯데백화점 청량리점,대한민국 서울특별시 동대문구 전농1동 왕산로 214,,서대문구,37.579293,127.047901,,,,,,,,,,,,,,,,,,,,
15,롯데백화점 강남점,대한민국 서울특별시 강남구 대치4동 도곡로 401,,강남구,37.496926,127.053273,,,,,,,,,,,,,,,,,,,,
16,롯데백화점 노원점,대한민국 서울특별시 노원구 상계6.7동 동일로 1414,,노원구,37.65521,127.061152,,,,,,,,,,,,,,,,,,,,
17,롯데백화점 미아점,대한민국 서울특별시 강북구 송중동 도봉로 62,,강북구,37.61455,127.03051,,,,,,,,,,,,,,,,,,,,
18,롯데백화점 관악점,대한민국 서울특별시 관악구 보라매동 봉천로 209,,관악구,37.490576,126.924991,,,,,,,,,,,,,,,,,,,,
19,롯데백화점 스타시티점,대한민국 서울특별시 광진구 자양동 능동로 92,,광진구,37.538776,127.071083,,,,,,,,,,,,,,,,,,,,
20,롯데백화점 김포공항점,대한민국 서울특별시 강서구 방화2동 하늘길 지하 77,,강서구,37.566773,126.802512,,,,,,,,,,,,,,,,,,,,
21,롯데마트 강변점,대한민국 서울특별시 광진구 구의3동 광나루로56길 85,,광진구,37.534937,127.095709,,,,,,,,,,,,,,,,,,,,
22,롯데마트 구로점,대한민국 서울특별시 구로구 구로2동 경인로 482,,구로구,37.498253,126.872738,,,,,,,,,,,,,,,,,,,,
23,롯데마트 김포공항점,대한민국 서울특별시 강서구 방화2동 하늘길 38,,강서구,37.566773,126.802512,,,,,,,,,,,,,,,,,,,,
24,롯데마트 삼양점,대한민국 서울특별시 강북구 삼양동 삼양로 247,,강북구,37.625473,127.017719,,,,,,,,,,,,,,,,,,,,
25,롯데마트 서울역점,대한민국 서울특별시 중구 봉래동2가 청파로 426,,중구,37.557407,126.9695,,,,,,,,,,,,,,,,,,,,
26,롯데마트 송파점,대한민국 서울특별시 송파구 문정2동 중대로 80,,송파구,37.491742,127.117867,,,,,,,,,,,,,,,,,,,,
27,롯데마트 잠실점,대한민국 서울특별시 송파구 잠실3동 올림픽로 240,,송파구,37.511235,127.098027,,,,,,,,,,,,,,,,,,,,
28,롯데마트 서초점,대한민국 서울특별시 서초구 서초동 서초대로38길 12,,서초구,37.490852,127.005761,,,,,,,,,,,,,,,,,,,,
29,롯데마트 중계점,대한민국 서울특별시 노원구 중계1동 노원로 330,,노원구,37.646662,127.070967,,,,,,,,,,,,,,,,,,,,
30,롯데마트 청량리점,대한민국 서울특별시 동대문구 전농1동 왕산로 214,,동대문구,37.579293,127.047901,,,,,,,,,,,,,,,,,,,,
